 El.Ion   E_thr     E_max      E_0    sigma_0      ya        P         yw        y0        y1
 14  0  8.152e+00 1.060e+02 2.317e+01 2.506e+01 2.057e+01 3.546e+00 2.837e-01 1.672e-05 4.207e-01
 14  1  1.635e+01 1.186e+02 2.556e+00 4.140e+00 1.337e+01 1.191e+01 1.570e+00 6.634e+00 1.272e-01
 14  2  3.349e+01 1.311e+02 1.659e-01 5.790e-04 1.474e+02 1.336e+01 8.626e-01 9.613e+01 6.442e-01
 14  3  4.514e+01 1.466e+02 1.288e+01 6.083e+00 1.356e+06 3.353e+00 0.000e+00 0.000e+00 0.000e+00
 14  4  1.668e+02 1.887e+03 7.761e-01 8.863e-01 1.541e+02 9.980e+00 1.303e+00 2.009e+02 4.537e+00
 14  5  2.051e+02 1.946e+03 6.305e+01 7.293e+01 1.558e+02 2.400e+00 2.989e-03 1.115e+00 8.051e-02
 14  6  2.465e+02 2.001e+03 3.277e-01 6.680e-02 4.132e+01 1.606e+01 3.280e+00 1.149e-02 6.396e-01
 14  7  3.032e+02 2.058e+03 7.655e-01 3.477e-01 3.733e+02 8.986e+00 1.476e-03 3.850e+02 8.999e-02
 14  8  3.511e+02 2.125e+03 3.343e-01 1.465e-01 1.404e+03 8.503e+00 1.646e+00 1.036e+03 2.936e-01
 14  9  4.014e+02 2.194e+03 8.787e-01 1.950e-01 7.462e+02 8.302e+00 4.489e-01 4.528e+02 1.015e+00
 14 10  4.761e+02 2.268e+03 1.205e+01 1.992e+04 1.582e+00 2.425e+01 2.392e+01 1.990e-02 1.007e-02
 14 11  5.235e+02 2.336e+03 3.560e+01 2.539e+01 3.307e+01 4.728e+00 0.000e+00 0.000e+00 0.000e+00
 14 12  2.438e+03 5.000e+04 2.752e+02 4.754e+01 2.848e+01 2.135e+00 0.000e+00 0.000e+00 0.000e+00
 14 13  2.673e+03 5.000e+04 8.447e+01 2.793e+02 3.288e+01 2.963e+00 0.000e+00 0.000e+00 0.000e+00
 16  0  1.036e+01 1.700e+02 1.808e+01 4.564e+04 1.000e+00 1.361e+01 6.385e-01 9.935e-01 2.486e-01
 16  1  2.333e+01 1.846e+02 8.787e+00 3.136e+02 3.442e+00 1.281e+01 7.354e-01 2.782e+00 1.788e-01
